Boundary,Class
Solano Irrigation District,Agricultural
Reclamation District 2068,Agricultural
City of Fairfield,Urban
City of Vallejo,Urban
Maine Prairie Water District,Urban
City of Vacaville,Urban
City of Benicia,Urban
City of Davis,Urban
City of Dixon (includes Cal Water Service District),Urban
Suisun City,Urban
City of Rio Vista,Urban
UC Davis,Urban
Cal State Prison- Solano,Urban
Rural North Vacaville Water District,Agricultural
Travis Airforce Base,Urban
Dixon Ridge,Agricultural
Montezuma Hills,Agricultural
SE Region,Agricultural
Western Region,Agricultural
